Latitude,Longitude,Prices,Restuarant Name
37.8534164215184,-122.291620261967,2,Mint Leaf Vietnamese Restaurant
37.87614,-122.30342,100,Tacos Tala
37.8565788269043,-122.292541503906,1,Nina's Cafe
37.8777412132417,-122.309396266937,1,Tacos Pihuamo
37.853588104248,-122.294921875,100,Sandwich Box
37.8589552581185,-122.291529175248,2,9th Street Cafe
37.85571,-122.2893,2,Travelin Joe Espresso
37.8793099,-122.30163,1,Tacos Pihaumo Taco Truck
37.8794811958277,-122.296183821636,1,Chipotle Mexican Grill
37.8531366982109,-122.289528099731,2,Cafe W
37.877898726782,-122.308753293041,100,Tastes of Italy
