Latitude,Longitude,Prices,Rating,Restaurant Name,Review Count,Student Location?
37.8653797819146,-122.291163054991,1,4.0,Quince Cafe & Grill,323,False
37.8700153010474,-122.287308003204,2,3.5,Nine Thai Eatery,93,False
37.86243,-122.28082,2,3.5,Mehak Indian Cuisine,289,False
37.8704021,-122.2834959,2,4.0,Bangkok Thai Cuisine,299,False
37.86227,-122.28144,1,4.0,Mim Thai Cuisine,114,False
37.8702981,-122.2840615,2,4.0,Pizza Moda,325,False
37.85343,-122.27873,2,4.5,Kaffa Ethiopian Cuisine,129,False
37.87503,-122.2937,2,4.0,Bartavelle Coffee & Wine Bar,281,False
37.8751914023113,-122.294136209787,2,4.0,Mountain Mike's Pizza,128,False
37.8572599,-122.28793,2,4.5,Nordic House,114,False
37.86963,-122.29015,2,3.0,Eat At Thai,147,False
37.850557,-122.278723,2,3.5,Moxy Beer Garden,261,False
37.87957,-122.29515,1,4.0,La Palmita Cafe,75,False
37.86172,-122.2805,1,4.0,Mo' Joe Cafe,157,False
37.86231009489,-122.28137681093,2,3.5,Homemade Cafe,518,False
37.87251,-122.29365,2,3.5,Café Leila,502,False
37.86076,-122.28983,2,3.5,Caffe on San Pablo,263,False
37.8508458615426,-122.286152344117,1,4.0,The Deli & Grill,12,False
37.868592,-122.291781,2,3.5,Lanesplitter Pizza & Pub,475,False
37.8911548,-122.2854571,1,4.0,Taqueria Talavera,360,False
37.85676,-122.2878,1,3.5,Broom Bush Cafe,94,False
37.86811,-122.29223,1,4.0,Mi Tierra Foods,114,False
37.8557,-122.28823,1,4.5,Vital Vittles,52,False
37.86615,-122.29152,1,3.5,Gallego's,79,False
37.8623559,-122.2814164,2,3.5,Breads of India,49,False
37.880404,-122.295423,1,3.5,Tea Fragrance House,156,False
37.86968,-122.28979,1,3.5,Fosters Freeze,94,False
37.86994,-122.29279,1,3.5,Indus Village Restaurant,354,False
37.868106,-122.292236,2,3.5,Priya Indian Cuisine,171,False
37.86669,-122.2909,1,2.0,Jack In The Box,58,False
37.8667064231024,-122.25891993651,1,3.5,Gordo Taqueria,270,False
37.8693197,-122.2917594,1,3.5,Little Caesars Pizza,13,False
37.8684299,-122.29153,2,5.0,Crosta Panini Bar,18,False
37.8719007,-122.2927238,1,2.5,Popeyes Louisiana Kitchen,88,False
37.86943,-122.29182,1,2.0,Subway,26,False
37.870816,-122.277301,1,4.0,Maya Cafe,25,False
37.8487361392759,-122.272188998759,1,4.0,Easy Creole,547,False
37.8499242,-122.2706275,1,4.0,The Fat Fish,95,False
37.8708412,-122.2805067,2,4.0,Himalayan Flavors,371,False
37.8524741,-122.2738958,100,5.0,Squabisch,1,False
